,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_net_minutes,total_net_calls,total_net_charge,churn
1498,TX,201,area_code_415,no,yes,21,192.0,97,32.64,239.1,81,20.32,116.1,125,5.22,15.1,3,4.08,1,547.2,303,58.18,no
2553,ND,127,area_code_415,no,yes,23,182.0,80,30.94,216.1,85,18.37,156.9,82,7.06,9.8,4,2.65,1,555.0,247,56.370000000000005,no
3980,MN,130,area_code_415,no,no,0,204.5,88,34.77,178.4,85,15.16,229.6,78,10.33,12.6,8,3.4,0,612.5,251,60.260000000000005,no
2143,DC,123,area_code_408,no,yes,28,124.7,105,21.2,250.4,78,21.28,216.4,128,9.74,7.8,8,2.11,1,591.5,311,52.220000000000006,no
4147,OR,122,area_code_408,no,no,0,152.0,86,25.84,162.8,61,13.84,161.9,98,7.29,9.3,3,2.51,1,476.70000000000005,245,46.97,no
1226,CO,192,area_code_415,no,no,0,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,12.7,6,3.43,4,674.1999999999999,234,69.44,no
0,OH,107,area_code_415,no,yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,611.5,329,55.540000000000006,no
1490,ND,118,area_code_415,no,yes,39,91.5,125,15.56,219.9,113,18.69,229.0,99,10.31,12.7,8,3.43,2,540.4,337,44.56,no
2935,CT,133,area_code_408,no,no,0,240.8,72,40.94,202.7,62,17.23,212.9,76,9.58,7.7,5,2.08,1,656.4,210,67.75,no
3262,ID,61,area_code_415,no,no,0,234.6,126,39.88,200.7,76,17.06,171.1,81,7.7,8.1,2,2.19,0,606.4,283,64.64,no
3373,MO,137,area_code_510,no,no,0,79.5,121,13.52,164.1,86,13.95,121.8,108,5.48,11.7,7,3.16,2,365.4,315,32.95,no
779,KY,74,area_code_510,yes,no,0,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,1,540.9,342,48.37,yes
1009,IL,78,area_code_415,yes,no,0,236.8,141,40.26,265.3,101,22.55,152.4,77,6.86,9.5,2,2.57,1,654.5,319,69.67,yes
1248,HI,118,area_code_415,no,no,0,253.2,122,43.04,201.0,78,17.09,195.3,108,8.79,9.7,7,2.62,2,649.5,308,68.91999999999999,no
3329,IA,79,area_code_415,no,yes,12,62.4,119,10.61,237.6,96,20.2,193.4,116,8.7,7.8,2,2.11,0,493.4,331,39.51,no
2469,UT,44,area_code_415,no,no,0,202.6,89,34.44,163.0,96,13.86,268.1,151,12.06,8.3,3,2.24,0,633.7,336,60.36,no
532,VA,74,area_code_408,no,no,0,165.3,120,28.1,198.5,106,16.87,208.5,102,9.38,9.8,3,2.65,1,572.3,328,54.35,no
3725,KY,55,area_code_415,no,yes,37,197.5,89,33.58,228.7,141,19.44,313.4,121,14.1,19.7,2,5.32,1,739.5999999999999,351,67.11999999999999,no
3878,NH,82,area_code_408,no,no,0,156.0,94,26.52,295.6,118,25.13,196.9,84,8.86,14.3,3,3.86,0,648.5,296,60.51,no
911,IN,105,area_code_510,no,yes,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,566.6,253,47.15,no
715,RI,70,area_code_415,no,no,0,134.7,96,22.9,235.9,90,20.05,260.2,113,11.71,7.6,6,2.05,3,630.8,299,54.660000000000004,no
4242,MN,150,area_code_408,no,no,0,170.0,115,28.9,162.7,138,13.83,267.2,77,12.02,8.3,2,2.24,0,599.9,330,54.75,no
2361,MS,59,area_code_408,no,yes,27,127.4,110,21.66,103.3,99,8.78,164.2,73,7.39,9.1,3,2.46,0,394.9,282,37.83,no
914,SD,148,area_code_408,no,no,0,185.2,87,31.48,170.4,96,14.48,165.1,104,7.43,9.5,13,2.57,1,520.7,287,53.39,no
3364,MT,142,area_code_415,no,yes,22,198.3,144,33.71,157.2,96,13.36,180.9,114,8.14,11.1,4,3.0,2,536.4,354,55.21,no
918,KY,57,area_code_415,no,yes,29,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,1,754.7,324,77.86999999999999,no
3406,GA,100,area_code_415,no,no,0,218.9,124,37.21,237.5,99,20.19,189.7,52,8.54,11.0,6,2.97,2,646.0999999999999,275,65.94,no
2027,CT,40,area_code_510,yes,no,0,220.8,100,37.54,265.7,106,22.58,212.8,94,9.58,6.4,3,1.73,0,699.3,300,69.7,no
