state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_net_minutes,total_net_calls,total_net_charge,churn
NM,161,area_code_408,no,no,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,2,611.0999999999999,298,51.19,no
MO,38,area_code_510,no,no,0,281.1,113,47.79,236.1,82,20.07,230.1,60,10.35,10.9,3,2.94,1,747.3000000000001,255,78.21,yes
MD,120,area_code_415,no,yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,674.5,281,64.2,no
AZ,113,area_code_415,no,yes,32,180.4,89,30.67,129.4,124,11.0,166.9,124,7.51,8.4,2,2.27,1,476.70000000000005,337,49.18,no
KY,77,area_code_415,no,yes,32,192.2,101,32.67,165.4,84,14.06,230.2,129,10.36,8.0,6,2.16,1,587.8,314,57.09,no
AZ,140,area_code_408,no,no,0,173.2,91,29.44,196.8,106,16.73,209.3,128,9.42,11.2,5,3.02,3,579.3,325,55.59,no
HI,119,area_code_408,no,yes,24,217.2,94,36.92,138.7,52,11.79,139.3,85,6.27,11.3,4,3.05,0,495.2,231,54.980000000000004,no
MO,66,area_code_415,no,yes,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,506.9,270,44.54,no
TX,104,area_code_415,no,no,0,304.0,141,51.68,264.1,127,22.45,138.1,104,6.21,7.2,4,1.94,0,706.2,372,80.33999999999999,yes
ND,59,area_code_510,no,no,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,587.7,284,58.17,no
ND,182,area_code_415,no,no,0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8.0,5,2.16,2,561.5999999999999,322,46.32,no
TX,37,area_code_510,yes,no,0,172.9,119,29.39,183.0,86,15.56,226.4,100,10.19,9.8,1,2.65,0,582.3,305,55.14,yes
WI,123,area_code_415,no,no,0,172.2,92,29.27,162.6,76,13.82,250.3,101,11.26,8.7,4,2.35,1,585.0999999999999,269,54.35,no
IL,149,area_code_408,no,no,0,69.1,117,11.75,136.3,100,11.59,181.7,53,8.18,6.3,3,1.7,1,387.1,270,31.52,no
AR,107,area_code_415,yes,no,0,133.3,106,22.66,182.9,89,15.55,241.1,123,10.85,12.9,2,3.48,3,557.3000000000001,318,49.06,yes
SD,128,area_code_415,no,no,0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97,3,573.2,263,64.01,no
MS,110,area_code_415,no,no,0,178.4,110,30.33,179.1,116,15.22,228.1,99,10.26,6.5,4,1.76,1,585.6,325,55.809999999999995,no
NJ,88,area_code_510,no,no,0,144.3,116,24.53,156.4,74,13.29,214.7,90,9.66,7.8,10,2.11,3,515.4000000000001,280,47.480000000000004,no
WV,123,area_code_408,no,yes,31,203.6,108,34.61,156.9,112,13.34,236.2,114,10.63,12.0,5,3.24,1,596.7,334,58.580000000000005,no
AL,88,area_code_415,no,no,0,181.9,90,30.92,151.5,87,12.88,143.0,100,6.44,7.5,3,2.03,1,476.4,277,50.24,no
MO,98,area_code_415,no,no,0,221.2,80,37.6,213.6,104,18.16,291.8,89,13.13,11.9,3,3.21,4,726.5999999999999,273,68.89,no
WV,87,area_code_415,no,no,0,124.3,91,21.13,173.4,105,14.74,256.3,109,11.53,7.5,5,2.03,3,554.0,305,47.4,no
SD,86,area_code_415,no,no,0,223.9,75,38.06,155.7,109,13.23,150.2,143,6.76,7.3,9,1.97,1,529.8,327,58.050000000000004,no
NC,155,area_code_408,no,no,0,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,603.5,253,67.74,no
MA,102,area_code_510,no,no,0,143.7,82,24.43,170.9,83,14.53,310.9,112,13.99,9.8,1,2.65,2,625.5,277,52.95,no
DC,91,area_code_415,no,yes,39,169.8,105,28.87,65.2,116,5.54,144.4,92,6.5,10.9,4,2.94,1,379.4,313,40.910000000000004,no
